metric,20251003_225714,20251003_225724,20251003_231533,20251003_231804,20251003_231814,20251003_231840,20251003_231916,20251003_231929,20251004_091205,20251004_091211,20251004_091218,20251004_091829,20251004_091831,20251004_091833,20251004_091839,20251004_091859,20251004_091912,20251004_091918,20251004_091923,20251004_091927,20251004_091931,20251004_091944,20251004_091950,20251004_092000,20251004_092014,20251004_092716,20251004_092809,20251004_092952,20251004_093008,20251004_093026,20251004_093049,20251004_093106,20251004_093109,20251004_093120,20251004_093220,20251004_093231,20251004_093236,20251004_093248,20251004_093305,20251004_093325,20251004_100048,20251004_100106,20251004_125000,20251004_125026,20251004_125037,20251004_125043,20251004_125052,20251004_125411,20251004_125418,20251004_125512,20251004_125531,20251004_125702,20251004_125712,20251004_125815,20251004_125830,20251004_125952,20251004_130106,20251004_130118,20251004_130152,20251004_130158,20251004_130200,20251004_130247,20251004_130429,20251004_130456,20251004_130504,20251004_130511,20251004_130553,20251004_130632,20251004_130641,20251004_130646,20251004_130702,20251004_130810,20251004_131209,20251004_135917,20251004_135923,20251004_140851,20251004_140914,20251004_141038,20251004_141309,20251004_141405,20251004_143032,20251004_143046,20251004_144107,20251004_144137,20251004_144146,20251004_144307,20251004_144510,20251004_144534,20251004_144849,20251004_144852,20251004_145134,20251004_145217,20251004_145232,20251004_145244,20251004_145321,20251004_145413,20251004_145426,20251004_145454,20251004_150818,20251004_150944,20251004_150951,20251004_150958,20251004_151014,20251004_151022,20251004_151141,20251004_151213,20251004_151232,20251004_151244,20251004_151257,20251004_151312,20251004_151324,20251004_151514,20251004_151524,20251004_151532,20251004_151549,20251004_151723,20251004_151822,20251004_151849,20251004_151918,20251004_152243,20251004_152357,20251004_152447,20251004_152549,20251004_152609,20251004_152719,20251004_152728,20251004_152803,20251004_152813,20251004_152820,20251004_152827,20251004_152835,20251004_152837,20251004_152849,20251004_152859,20251004_152950,20251004_153017,20251004_153027,20251004_153037,20251004_153438,20251004_154921,20251004_155129,20251004_161031,20251004_161045,20251004_161113,20251004_162353,20251004_162403,20251004_162610,20251004_162617,20251004_163630,20251004_163639,20251004_163644,20251004_163709,20251004_164018,20251004_164026,20251004_164045,20251004_164135,20251004_164153,20251004_164213,20251004_164240,20251004_164357,20251004_164416,20251004_164425,20251004_164502,20251004_164616,20251004_164656,20251004_164715,20251004_164739,20251004_165004,20251004_165025,20251004_165108,20251004_165420,20251004_165539,20251004_165606,20251004_165626,20251004_165644,20251004_165652,20251004_165757,20251004_165808,20251004_165822,20251004_165842,20251004_165913,20251004_165927,20251004_170011,20251004_170023,20251004_170059,20251004_170215,20251004_170240,20251004_170253,20251004_170304,20251004_170323,20251004_170429,20251004_173648,20251004_173817,20251004_173904,20251004_173906,20251004_173918,20251004_173943,20251004_174020,20251004_174406,20251004_174425,20251004_175628,20251004_175651,20251004_175713,20251004_175842,20251004_175926,20251004_180136,20251004_180229,20251004_180353,20251004_180541,20251004_180750,20251004_180807,20251004_180858,20251004_180927,20251004_181002,20251004_181025,20251004_181051,20251004_181151,20251004_181255,20251004_181405,20251004_181421,20251004_181706,20251004_181759,20251004_181818,20251004_181825,20251004_181848,20251004_182044,20251004_182100,20251004_182120,20251004_182127,20251004_182204,20251004_182250,20251004_182318,20251004_182541,20251004_182629,20251004_182639,20251004_182705,20251004_182722,20251004_182729,20251004_182749,20251004_183135,20251004_183209,20251004_183312,20251004_183444,20251004_184740,20251004_184809,20251004_184907,20251004_184917,20251004_184921,20251004_184952,20251004_185107,20251004_185116,20251004_185342,20251004_185347,20251004_185411,20251004_185416,20251004_185555,20251004_185615,20251004_185624,20251004_185641,20251004_185649,20251004_185935,20251004_185958,20251004_190111,20251004_190215,20251004_190227,20251004_190756,20251004_190838,20251004_190917,20251004_190934,20251004_191003,20251004_191026,20251004_191052,20251004_191206,20251004_201158,20251004_201231,20251004_201434,20251004_201458,20251004_201513,20251004_201530,20251004_201620,20251004_201637,20251004_201701,20251004_204955,20251004_205838,20251004_205909,20251004_210927,20251004_211000,20251004_211028,20251004_211056,20251004_211800,20251004_211953,20251004_212136,20251004_212203,20251004_212225,20251004_212345,20251004_212909,20251004_212938,20251004_213051,20251004_213108,20251004_213130,20251004_213158,20251004_213330,20251004_213358,20251004_213501,20251004_213539,20251004_214132,20251004_214153,20251004_214207,20251004_214223,20251004_214237,20251004_214251,20251004_214307,20251004_214324,20251004_214338,20251004_214353,20251004_214408,20251004_214424,20251004_214448,20251004_214524,20251004_215204,20251004_215223,20251004_215240,20251004_215255,20251004_215655,20251004_220006,20251004_220545,20251004_221016,20251004_221057,20251004_221245,20251004_221330,20251004_221409,20251004_221416,20251004_221432,20251004_221446,20251004_221501,20251004_221515,20251004_221536,20251004_221607,20251004_221742,20251004_221838,20251004_221937,20251004_222013,20251004_222040,20251004_222113,20251004_222503,20251004_222529,20251004_224934,20251004_224948,20251004_225156,20251004_225245,20251004_225301,20251004_225325,20251004_225338,20251004_225428,20251004_225458,20251004_225526,20251004_225548,20251004_225605,20251004_225708,20251004_225841,20251004_230004,20251004_230025,20251004_230044,20251004_230119,20251004_230139,20251004_230159,20251004_230218,20251004_230233,20251004_230249,20251004_230309,20251004_230329,20251004_230352,20251004_230925,20251004_231255,20251004_231313,20251004_231329,20251004_231345,20251004_231526,20251004_231539,20251004_233428,20251004_234049,20251004_234058,20251004_234103,20251004_234116,20251004_234136,20251004_234156,20251004_234237,20251004_234305,20251004_234321,20251004_234335,20251004_234357,20251004_234516,20251004_234542,20251004_234643,20251004_234811,20251004_234835,20251004_234849,20251004_234904,20251004_234934,20251005_104533,20251005_104652,20251005_104724,20251005_104839,20251005_104856,20251005_104910,20251005_104925,20251005_104953,20251005_105017,20251005_105116,20251005_105150,20251005_105204,20251005_105242,20251005_105341,20251005_105355,20251005_105409,20251005_105459,20251005_105518,20251005_105630,20251005_105644,20251005_105657,20251005_105714,20251005_105757,20251005_110732,20251005_110800,20251005_110816,20251005_110850,20251005_110907,20251005_111025,20251005_111041,20251005_111151,20251005_111232,20251005_111320,20251005_141336,20251007_204549,20251007_204604,20251007_204751,20251007_205744,20251007_205801,20251007_205824,20251007_205851,20251007_210411,20251007_210428,20251007_210502,20251007_210941,20251007_211017,20251007_211032,20251007_211157,20251007_211424,20251007_211518,20251008_170844,20251008_170914,20251008_170942,20251008_171024,20251008_171049,20251008_171104,20251008_171129,20251008_171145,20251008_173912,20251008_173959,20251008_174037,20251008_174137,20251008_174310,20251008_174445,20251008_174811,20251008_174849,20251008_174916,20251008_174955,20251008_175419
0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0
1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
